url,recipe_name,ingredient_raw,ingredient_key,quantity,unit
https://www.seriouseats.com/extra-crispy-bar-style-tortilla-pizza-recipe,Extra-Crispy Bar-Style Tortilla Pizza,1/4 cup (60ml) store-bought or homemade pizza sauce,(60ml) store-bought or homemade pizza sauce,0.25,cup
https://www.seriouseats.com/extra-crispy-bar-style-tortilla-pizza-recipe,Extra-Crispy Bar-Style Tortilla Pizza,1 1/2 ounces (45g) shredded whole milk low-moisture mozzarella cheese,(45g) shredded whole milk low-moisture mozzarella cheese,1.5,ounces
https://www.seriouseats.com/extra-crispy-bar-style-tortilla-pizza-recipe,Extra-Crispy Bar-Style Tortilla Pizza,"1 ounce (30g) finely grated Parmesan cheese, divided","(30g) finely grated parmesan cheese, divided",1.0,ounce
https://www.seriouseats.com/extra-crispy-bar-style-tortilla-pizza-recipe,Extra-Crispy Bar-Style Tortilla Pizza,Kosher salt,kosher salt,0.0,
https://www.seriouseats.com/extra-crispy-bar-style-tortilla-pizza-recipe,Extra-Crispy Bar-Style Tortilla Pizza,"2 fresh basil leaves, roughly torn","fresh basil leaves, roughly torn",2.0,
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,"4 large croissants, homemade or store-bought, split","large croissants, homemade or store-bought, split",4.0,
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,1/4 cup (60 ml) mayonnaise,(60 ml) mayonnaise,0.25,cup
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,1/4 cup (60 ml) Dijon mustard,(60 ml) dijon mustard,0.25,cup
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,2 tablespoons (30 g) prepared horseradish,(30 g) prepared horseradish,2.0,tbsp
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,1 tablespoon unsalted butter (1 ounce; 14 g),unsalted butter (1 ounce; 14 g),1.0,tbsp
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,"1 small shallot (1 1/2 ounces; 45 g), thinly sliced crosswise","small shallot (1 1/2 ounces; 45 g), thinly sliced crosswise",1.0,
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,"16 ounces (454 g) cremini or button mushrooms, stemmed and cut into 1/4-inch slices","(454 g) cremini or button mushrooms, stemmed and cut into 1/4-inch slices",16.0,ounces
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,1 teaspoon minced fresh thyme leaves,minced fresh thyme leaves,1.0,tsp
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,"1/2 teaspoon Diamond Crystal kosher salt, plus more to taste; for table salt, use half as much by volume","diamond crystal kosher salt, plus more to taste; for table salt, use half as much by volume",0.5,tsp
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,"1/4 teaspoon freshly ground black pepper, plus more to taste","freshly ground black pepper, plus more to taste",0.25,tsp
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,"12 ounces (340 g) thinly sliced rare roast beef, homemade or store-bought (see notes)","(340 g) thinly sliced rare roast beef, homemade or store-bought (see notes)",12.0,ounces
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,4 ounces (113 g) thinly sliced prosciutto,(113 g) thinly sliced prosciutto,4.0,ounces
https://www.seriouseats.com/beef-wellington-sandwich-recipe-11875196,Beef Wellington Sandwich,1 ounce baby arugula (28 g; 2 cups),baby arugula (28 g; 2 cups),1.0,ounce
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,4 ounces (113 g) egg whites from 4 large eggs,(113 g) egg whites from 4 large eggs,4.0,ounces
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,"1/2 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume or same weight","diamond crystal kosher salt; for table salt, use half as much by volume or same weight",0.5,tsp
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,"142 g granulated sugar (5 ounces; about 2/3 cups), divided","granulated sugar (5 ounces; about 2/3 cups), divided",142.0,g
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,128 g all-purpose flour (4 1/2 ounces; 1 cup),all-purpose flour (4 1/2 ounces; 1 cup),128.0,g
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,1 teaspoon baking powder,baking powder,1.0,tsp
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,1 tablespoon (5 g) matcha powder,(5 g) matcha powder,1.0,tbsp
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,56 g egg yolks (2 ounces) from 4 large eggs,egg yolks (2 ounces) from 4 large eggs,56.0,g
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,"56 g neutral oil (2 ounces; about 1/4 cup), such as vegetable","neutral oil (2 ounces; about 1/4 cup), such as vegetable",56.0,g
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,85 g cold seltzer or club soda (3 ounces; about 1/3 cup),cold seltzer or club soda (3 ounces; about 1/3 cup),85.0,g
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,2 teaspoons (10 g) vanilla extract,(10 g) vanilla extract,2.0,tsp
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,1/2 cup mascarpone (4 ounces; 113 g),mascarpone (4 ounces; 113 g),0.5,cup
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,2 cups (480 ml) heavy cream,(480 ml) heavy cream,2.0,cup
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,1/4 teaspoon vanilla extract,vanilla extract,0.25,tsp
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,"1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume","diamond crystal kosher salt; for table salt, use half as much by volume",0.25,tsp
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,"42 g powdered sugar (about 1 1/2 ounces; 3 tablespoons), plus more as needed","powdered sugar (about 1 1/2 ounces; 3 tablespoons), plus more as needed",42.0,g
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,1 1/2 tablespoons (7 g) matcha powder,(7 g) matcha powder,1.5,tbsp
https://www.seriouseats.com/matcha-chiffon-cake-recipe-11875569,Matcha Chiffon Cake,"Powdered sugar, for dusting","powdered sugar, for dusting",0.0,
https://www.seriouseats.com/midwestern-lefse-recipe-11874647,Midwestern Potato Lefse (Norwegian-American Potato Flatbread),"1.02 kg ( 2 1/2 pounds) russet potatoes, peeled and cut into 1-inch chunks","( 2 1/2 pounds) russet potatoes, peeled and cut into 1-inch chunks",1.02,kg
https://www.seriouseats.com/midwestern-lefse-recipe-11874647,Midwestern Potato Lefse (Norwegian-American Potato Flatbread),"70 g (5 tablespoons) unsalted butter, cut into tablespoons","(5 tablespoons) unsalted butter, cut into tablespoons",70.0,g
https://www.seriouseats.com/midwestern-lefse-recipe-11874647,Midwestern Potato Lefse (Norwegian-American Potato Flatbread),75 g (5 tablespoons) heavy cream,(5 tablespoons) heavy cream,75.0,g
